,20,40,60,80,100
Merkle Tree,0.012462695439656576,0.01699670155843099,0.03515942891438802,0.0098114013671875,0.030917803446451824
Accumulator: Aggregate,0.14496133327484131,0.2945096492767334,0.45007599194844566,0.8395636469125748,0.8375764870643616
Accumulator: Aggregate w. NI-PoE,0.15493451356887816,0.3059626817703247,0.4583545366923014,0.8513340055942535,0.7894823384284974
